,hidden_nodes,sigma,l2,lr,mse_mean,mse_std,weights_mean,weights_std
2,"[5, 3]",0.05,0.001,0.01,0.0179792780199393,0.0047619848324369,0.10351463,0.7508114
4,"[5, 3]",0.05,0.0002,0.01,0.0156481197998052,0.0031105113434524,0.13683139,1.0043033
8,"[5, 3]",0.15,0.001,0.01,0.0167815804167127,0.0020483305005655,0.10234159,0.73306906
10,"[5, 3]",0.15,0.0002,0.01,0.0190924190463759,0.0097327077681238,0.13114178,0.91180956
14,"[5, 6]",0.05,0.001,0.01,0.0143057543394402,0.0019710547937777,0.10487404,0.71665585
16,"[5, 6]",0.05,0.0002,0.01,0.0138169936024225,0.002523923076791,0.12912297,0.93866
20,"[5, 6]",0.15,0.001,0.01,0.0165876730036217,0.0007254891181126,0.09405535,0.70779
22,"[5, 6]",0.15,0.0002,0.01,0.0142923637060685,0.0011593811539947,0.15716998,0.9473726
26,"[5, 9]",0.05,0.001,0.01,0.0145175949634562,0.0026999250924436,0.11396553,0.6852611
28,"[5, 9]",0.05,0.0002,0.01,0.0130472078596265,0.0032349350046116,0.13471018,0.930363
32,"[5, 9]",0.15,0.001,0.01,0.0178863084787208,0.0012939421801087,0.08893274,0.66865
34,"[5, 9]",0.15,0.0002,0.01,0.0141982622904074,0.0015493146091362,0.09567894,0.9102103
