,hidden_nodes,mse_mean,mse_std
0,"[3, 2]",0.019203395049546462,0.005126548080686471
1,"[3, 4]",0.024053193705158266,0.01393534447959992
2,"[3, 6]",0.02659783557630734,0.01657283016316604
3,"[4, 2]",0.022786796759430315,0.014609327603378476
4,"[4, 4]",0.013818254648146464,0.0035491524285725037
5,"[4, 6]",0.017322417376223077,0.011676415943648849
6,"[5, 2]",0.017570004820491134,0.011891209066861143
7,"[5, 4]",0.017335990393519567,0.004281055137976546
8,"[5, 6]",0.013143832026268218,0.0034260917151503834
